"VMID","INSTANCEID","STATUS","STT"
"197","INBLR-VM-1138","poweredOff","2020-03-05 21:11:00.0000"
"451","INBLR-VM-1341","poweredOff","2020-03-05 21:41:00.0000"
"505","INBLR-VM-1135","poweredOff","2020-03-17 11:10:13.6930"
"642","inblr-vm-2610","poweredOff","2020-03-05 21:25:00.0000"
"801","INBLR-VM-1174","poweredOff","2020-03-05 21:55:00.0000"
"827","inblr-vm-1221","poweredOff","2020-03-05 21:27:00.0000"
"834","INBLR-VM-1012","poweredOff","2020-03-05 21:58:00.0000"
"835","INBLR-VM-1011","poweredOff","2020-03-05 21:37:00.0000"
"870","INBLR-VM-1001","poweredOff","2020-03-05 21:50:00.0000"
"874","inblr-vm-1236","poweredOff","2020-03-05 21:27:00.0000"
"882","INBLR-VM-1144","poweredOff","2020-03-05 21:37:00.0000"
"890","inblr-vm-1220","poweredOff","2020-03-05 21:39:00.0000"
"895","INBLR-VM-1050","poweredOff","2020-03-05 23:17:00.0000"
"900","INBLR-VM-1003","poweredOff","2020-03-05 22:47:00.0000"
"904","INBLR-VM-1004","poweredOff","2020-03-05 22:54:00.0000"
"909","INBLR-VM-1013","poweredOff","2020-03-05 22:54:00.0000"
"911","INBLR-VM-1014","poweredOff","2020-03-05 23:05:00.0000"
"912","INBLR-VM-1015","poweredOff","2020-03-05 23:38:00.0000"
"920","INBLR-VM-1143","poweredOff","2020-03-05 23:06:00.0000"
"930","inblr-vm-1239","poweredOff","2020-03-05 23:12:00.0000"
"934","INBLR-VM-1131","poweredOff","2020-03-05 23:23:00.0000"
"936","INBLR-VM-1170","poweredOff","2020-03-05 23:50:00.0000"
"942","INBLR-VM-1172","poweredOff","2020-03-05 23:49:00.0000"
"2063","inblr-vm-2806","poweredOff","2020-03-05 23:50:00.0000"
"2159","INBLR-NVM-027","poweredOn","2020-01-05 10:55:55.7400"
"2188","INBLR-UVM-1654","poweredOff","2020-03-05 23:49:00.0000"
"2243","Isolated_goofy","poweredOn","2020-02-21 02:10:00.0000"
"2297","INBLR-UVM-2248","poweredOff","2020-03-17 11:21:47.5650"
"3224","inblr-vm-1147","poweredOff","2020-03-05 23:28:00.0000"
"3319","INBLR-VM-1137","poweredOff","2020-03-05 23:58:00.0000"
"3514","INBLR-UVM-5990","poweredOff","2020-03-11 11:32:04.3490"
"4833","INBLR-UVM-7216","poweredOn","2019-12-15 12:45:32.0500"
"5397","inblr-uvm-7757","poweredOff","2020-03-16 16:08:00.0000"
