"VMID","INSTANCEID","STATUS","STT"
"42","INBLR-VM-1333","poweredOff","2019-03-25 16:00:00.0000"
"66","inblr-vm-1885","poweredOff","2019-03-07 16:00:00.0000"
"76","inblr-vm-2630","poweredOff","2019-03-08 16:00:00.0000"
"96","inblr-vm-0456","poweredOff","2019-03-06 16:00:00.0000"
"242","inblr-vm-0088","poweredOff","2019-03-06 16:00:00.0000"
"371","inblr-vm-0205","poweredOff","2019-03-08 16:00:00.0000"
"520","INBLR-VM-1133","poweredOff","2019-03-25 16:00:00.0000"
"522","inblr-vm-0610","poweredOff","2019-03-06 16:00:00.0000"
"618","inblr-vm-1773","poweredOff","2019-03-15 16:00:00.0000"
"637","inblr-vm-2617","poweredOff","2019-03-09 16:00:00.0000"
"732","inblr-vm-2608","poweredOff","2019-03-15 16:00:00.0000"
"791","GTCI-VM-0568","poweredOff","2019-03-15 16:00:00.0000"
"805","INBLR-VM-1104","poweredOff","2019-03-25 10:16:00.0000"
"818","inblr-vm-2123","poweredOff","2019-03-20 16:00:00.0000"
"855","M-RHEL-PROD","poweredOn","2019-01-08 16:00:00.0000"
"914","GTCI-VM-0532","poweredOff","2019-03-15 16:00:00.0000"
"925","INBLR-VM-1128","poweredOff","2019-03-25 16:00:00.0000"
"1237","inblr-vm-2922","poweredOff","2019-03-15 16:00:00.0000"
"1777","INBLR-UVM-1163","poweredOn","2019-02-17 16:43:16.4780"
"1871","INBLR-UVM-1268","poweredOff","2019-03-04 14:22:43.5390"
"1872","INBLR-UVM-1267","poweredOff","2019-03-04 14:27:13.8650"
"1877","INBLR-UVM-1275","poweredOff","2019-03-05 12:02:53.0010"
"2011","inblr-dpsearch_old","poweredOff","2019-03-25 10:16:00.0000"
"2038","inblr-vm-2163","poweredOff","2019-03-15 16:00:00.0000"
"2039","inblr-vm-2803","poweredOff","2019-03-15 16:00:00.0000"
"2121","INBLR-NVM-VCNTR","poweredOff","2019-03-25 10:15:00.0000"
"2127","inblr-vm-2459","poweredOff","2019-03-25 10:13:00.0000"
"2177","INBLR-UVM-1643","poweredOff","2019-03-26 11:55:58.1110"
"2499","inblr-c-004","poweredOff","2019-03-25 10:12:00.0000"
